starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:43:35 2015	1422164615	4	4013	4017	3739
Sat Jan 24 23:43:35 2015	1422164615	4	4017	4020	3833
Sat Jan 24 23:43:54 2015	1422164634	0	4025	4025	3808
Sat Jan 24 23:43:41 2015	1422164621	0	4027	4027	3960
Sat Jan 24 23:43:47 2015	1422164627	0	4027	4027	3966
Sat Jan 24 23:43:43 2015	1422164623	0	4033	4033	3971
Sat Jan 24 23:43:38 2015	1422164618	0	4034	4035	3764
Sat Jan 24 23:43:52 2015	1422164632	0	4044	4044	3889
Sat Jan 24 23:43:47 2015	1422164627	0	4047	4047	3720
Sat Jan 24 23:43:38 2015	1422164618	0	4056	4057	3760
Sat Jan 24 23:44:01 2015	1422164641	0	4066	4066	4064
Sat Jan 24 23:43:45 2015	1422164625	0	4071	4071	4021
Sat Jan 24 23:43:44 2015	1422164624	0	4079	4079	3878
Sat Jan 24 23:43:48 2015	1422164628	0	4082	4083	3766
Sat Jan 24 23:43:35 2015	1422164615	11	4073	4084	3845
Sat Jan 24 23:43:42 2015	1422164622	0	4089	4089	3977
Sat Jan 24 23:43:55 2015	1422164635	0	4091	4092	3989
Sat Jan 24 23:43:40 2015	1422164620	0	4095	4095	3983
Sat Jan 24 23:43:39 2015	1422164619	0	4096	4096	3600
Sat Jan 24 23:43:40 2015	1422164620	0	4102	4103	3958
Sat Jan 24 23:43:35 2015	1422164615	4	4103	4107	3988
Sat Jan 24 23:43:52 2015	1422164632	0	4112	4112	3782
Sat Jan 24 23:43:52 2015	1422164632	1	4114	4114	4067
Sat Jan 24 23:43:38 2015	1422164618	0	4116	4116	3928
Sat Jan 24 23:43:46 2015	1422164626	0	4128	4129	4105
Sat Jan 24 23:43:40 2015	1422164620	0	4133	4134	4070
Sat Jan 24 23:43:49 2015	1422164629	1	4150	4151	3849
Sat Jan 24 23:44:00 2015	1422164640	0	4156	4156	4133
Sat Jan 24 23:43:55 2015	1422164635	0	4162	4162	3954
Sat Jan 24 23:43:47 2015	1422164627	0	4162	4162	3989
Sat Jan 24 23:43:35 2015	1422164615	4	4160	4164	4009
Sat Jan 24 23:43:35 2015	1422164615	78	4087	4164	4001
Sat Jan 24 23:43:59 2015	1422164639	0	4171	4171	4062
Sat Jan 24 23:43:52 2015	1422164632	0	4176	4176	4151
Sat Jan 24 23:43:35 2015	1422164615	12	4177	4189	3979
Sat Jan 24 23:43:44 2015	1422164624	0	4191	4191	4064
Sat Jan 24 23:43:35 2015	1422164615	78	4128	4206	3856
Sat Jan 24 23:43:49 2015	1422164629	0	4211	4211	4189
Sat Jan 24 23:43:39 2015	1422164619	0	4212	4212	4080
Sat Jan 24 23:43:44 2015	1422164624	0	4222	4222	3908
Sat Jan 24 23:43:35 2015	1422164615	3	4220	4223	3890
Sat Jan 24 23:43:55 2015	1422164635	0	4225	4225	3968
Sat Jan 24 23:43:49 2015	1422164629	0	4230	4231	4098
Sat Jan 24 23:43:56 2015	1422164636	0	4231	4231	4123
Sat Jan 24 23:43:58 2015	1422164638	16	4224	4240	3635
Sat Jan 24 23:43:44 2015	1422164624	0	4256	4256	3833
Sat Jan 24 23:43:50 2015	1422164630	13	4250	4263	4011
Sat Jan 24 23:43:40 2015	1422164620	8	4256	4264	4067
Sat Jan 24 23:43:50 2015	1422164630	0	4265	4266	3721
Sat Jan 24 23:43:45 2015	1422164625	0	4271	4271	4087
Sat Jan 24 23:43:37 2015	1422164617	0	4288	4288	4023
Sat Jan 24 23:43:50 2015	1422164630	0	4303	4303	4259
Sat Jan 24 23:43:35 2015	1422164615	3	4301	4304	4257
Sat Jan 24 23:43:35 2015	1422164615	4	4301	4305	3604
Sat Jan 24 23:44:00 2015	1422164640	0	4308	4308	4228
Sat Jan 24 23:43:55 2015	1422164635	0	4313	4313	4100
Sat Jan 24 23:43:53 2015	1422164633	0	4316	4317	4242
Sat Jan 24 23:43:43 2015	1422164623	0	4328	4328	4152
Sat Jan 24 23:43:40 2015	1422164620	0	4333	4333	4129
Sat Jan 24 23:43:57 2015	1422164637	0	4347	4347	4270
Sat Jan 24 23:43:47 2015	1422164627	0	4348	4348	4311
